,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
71,71.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,MILITARY PENSION ,48492682446.0
72,72.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ADMIN CHARGES/YEARLY VERIFICATION EXERCISE ,392463412.0
73,73.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST,350000000.0
74,74.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,POLICE PENSIONS AND GRATUITIES ,16052252690.0
75,75.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,13432252690.0
76,76.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS ,2500000000.0
77,77.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST ,120000000.0
78,78.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE ",8350000000.0
79,79.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,6500000000.0
80,80.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,GRATUITIES ,1500000000.0
81,81.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,DEATH BENEFITS ,300000000.0
82,82.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST ,50000000.0
83,83.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS ,15000000000.0
84,84.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,15000000000.0
85,85.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS ,29000000000.0
86,86.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,29000000000.0
87,87.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,6722599124.0
88,88.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,1936974315.0
89,89.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION ARREARS ,4725624809.0
90,90.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST,60000000.0
91,91.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,DEPARTMENT OF STATE SECURITY ,3489562127.0
92,92.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (INCLUDING ARREARS) ,3489562127.0
93,93.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY ,1237000000.0
94,94.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS,1237000000.0
95,95.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF PAYG PENSION ,14000000000.0
96,96.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,INCREASES IN PENSION RATES ,69325583678.0
97,97.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,IPPIS (OAGF AND HEAD OF SERVICE),3124197407.0
98,98.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS ,3200000000.0
99,99.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST) ,47975419638.0
100,100.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,EMPLOYERS' COMPENSATION CONTRIBUTION (1% OF TOTAL PERSONNEL COST),9595083928.0
101,101.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs ,20200000000.0
102,102.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,MDAs INCLUDING 2010 ARREARS OF PROMOTION ,25000000000.0
103,103.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ASUU AND OTHERS UNIONS ,74000000000.0
104,104.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,IMPLEMENTATION OF MEDICAL SALARY STRUCTURES (CONMESS),10000000000.0
105,105.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,OPERATIONS - INTERNAL AND EXTERNAL FOR THE ARMED FORCES,34901286270.0
106,106.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,JUDGEMENT DEBTS,17112285385.0
107,107.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS ,5000000000.0
108,108.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS ,5000000000.0
109,109.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,MARGIN FOR INCREASES IN COSTS ,4000000000.0
110,110.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,CONTINGENCY ,6000000000.0
111,111.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PUBLIC SERVICE REFORMS (INCLUDING PAYMENT OF SEVERANCE BENEFITS OF NBCB),10452796151.0
112,112.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,BIO-METRIC VERIFICATION OF PARASTATALS' PENSIONERS ,1000000000.0
113,113.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,MULTI YEAR TARIFF ORDER,65778000000.0
114,114.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF PARASTATALS MONETIZATION ,50000000000.0
115,115.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,RECURRENT ADJUSTMENT ,3000000000.0
116,116.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY(SGF),7488532000.0
117,117.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERATION SGF  ,13602175200.0
118,118.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,YOUTH DEVELOPMENT,2429983453.0
119,119.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE AFFAIRS,816764648.0
120,120.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,29972772520.0
121,121.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,WOMEN AFFAIRS,164288881.0
122,122.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AGRICULTURE AND WATER RESOURCES,117131713104.0
123,123.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES,300000000.0
124,124.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMISSION,401370500.0
125,125.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,39450000000.0
126,126.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,EDUCATION,53667933553.0
127,127.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRARTION,124110000000.0
128,128.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,10000000000.0
129,129.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FINANCE,3702437582.0
130,130.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEALTH ,49990000000.0
131,131.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMERCE AND INDUSTRY,2643512225.0
132,132.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFORMATION AND COMMUNICATIONS ,4600000000.0
133,133.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INTERIOR ,13139050471.0
134,134.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION ,10453260599.0
135,135.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,JUSTICE ,1358813740.0
136,136.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY ,525404374.0
137,137.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POWER ,153207074322.0
138,138.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SCIENCE AND TECHNOLOGY ,9538422041.0
139,139.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRANSPORT ,141277712698.0
140,140.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PETROLEUM RESOURCES ,31926379950.0
141,141.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"WORKS, HOUSING AND URBAN DEVELOPMENT ",221305748561.0
142,142.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINES AND STEEL DEVELOPMENT ,5890000000.0
143,143.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AVIATION ,49000000000.0
144,144.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION ",300000000.0
145,145.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,ENVIRONMENT ,5000000000.0
146,146.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CULTURE AND NOA ,4500000000.0
147,147.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION ,2647877855.0
148,148.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION ,4908101699.0
149,149.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER ,35089504781.0
150,150.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGER-DELTA ,61288868900.0
151,151.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL DUTIES ,100000000.0
152,152.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FISCAL RESPONSIBILTY COMMISSION ,500000000.0
153,153.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION ,250000000.0
154,154.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION ,980000000.0
155,155.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU ,100000000.0
156,156.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL ,150646889.0
157,157.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PUBLIC COMPLAINTS COMMISSION ,469310000.0
158,158.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION ,1069613560.0
159,159.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION ,200000000.0
160,160.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSSION ,100000000.0
161,161.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC) ,7910395500.0
162,162.0,2010.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION ,261697380.0
163,163.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY OFFICE ,1700000000.0
164,164.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,SENATE ,2000000000.0
165,165.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,HOUSE OF REPRESENTATIVES ,5000000000.0
166,166.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION ,300000000.0
167,167.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,LEGISLATIVE AIDES ,0.0
168,168.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,SENATE COMMITTEE ON PUBLIC ACCOUNTS ,0.0
169,169.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,HOUSE COMMITTEE ON PUBLIC ACCOUNTS ,0.0
170,170.0,2010.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,GENERAL SERVICE OFFICE ,0.0
171,171.0,2010.0,OTHERS,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COSTS,5000000000.0
172,172.0,2010.0,OTHERS,CAPITAL EXPENDITURE,OUTSTANDING LIABILITIES FOR FISCAL YEARS 2007 AND 2008,20000000000.0
173,173.0,2010.0,OTHERS,CAPITAL EXPENDITURE,COUNTERPART FUNDING,4500000000.0
174,174.0,2010.0,OTHERS,CAPITAL EXPENDITURE,QUICK WINS (2010),23000000000.0
175,175.0,2010.0,OTHERS,CAPITAL EXPENDITURE,CONDITIONAL GRANTS AND SOCIAL SAFETY NETS (MDGS),55000000000.0
176,176.0,2010.0,OTHERS,CAPITAL EXPENDITURE,MILLENIUM DEVELOPMENT GOALS MONITORING AND EVALUATION (OSSAP),2000000000.0
177,177.0,2010.0,OTHERS,CAPITAL EXPENDITURE,PUBLIC SECTOR REFORM (MDGs),5000000000.0
178,178.0,2010.0,OTHERS,CAPITAL EXPENDITURE,COMMUNICATIONS AND ADVOCACY (MDGs),500000000.0
179,179.0,2010.0,OTHERS,CAPITAL EXPENDITURE,CGS NIGER DELTA (SPECIAL PRESIDENTIAL INTERVENTION),4500000000.0
180,180.0,2010.0,OTHERS,CAPITAL EXPENDITURE,"ON-GOING/UNCOMPLETED 2006-2008 MDGs DRG PROJECTS IN RIVER BASINS, ENVIRONMENT AND PHC",1000000000.0
181,181.0,2010.0,OTHERS,CAPITAL EXPENDITURE,"PROVISION OF INFRASTRUCTURE, BANDWITH AND CONNECTIVITY TO MDAs BY GALAXY BACKBONE PLC",2700000000.0
182,182.0,2010.0,OTHERS,CAPITAL EXPENDITURE,PURCHASE OF OPERATIONAL VEHICLES FOR SECURITY AGENCIES,2000000000.0
183,183.0,2010.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT TO LOCAL CONTRACTORS VERIFIED CLAIMS (698 CONTRACTORS),7000000000.0
184,184.0,2010.0,OTHERS,CAPITAL EXPENDITURE,STRATEGIC CRIME PREVENTION AND CONTROL IN SEVEN (7) PILOT CITIES,5700000000.0
0,0.0,2011.0,STATUTORY,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,95000000000.0
1,1.0,2011.0,STATUTORY,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,46786520628.0
2,2.0,2011.0,STATUTORY,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,54328643090.0
3,3.0,2011.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,503000000000.0
4,4.0,2011.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,38916496647.0
5,5.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PRESIDENCY,26583128891.0
6,6.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),57604822199.0
7,7.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,YOUTH DEVELOPMENT,44208603401.0
8,8.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE AFFAIRS,3222404970.0
9,9.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE FORMATION AND COMMANDS,294000000000.0
10,10.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WOMEN AFFAIRS,2060641366.0
11,11.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,34063326510.0
12,12.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WATER RESOURCES,8745896464.0
13,13.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2935161388.0
14,14.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMISSION,3338916953.0
15,15.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,289000000000.0
16,16.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,EDUCATION,304000000000.0
17,17.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,38992135003.0
18,18.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FINANCE,12081460230.0
19,19.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,HEALTH,202000000000.0
20,20.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMERCE AND INDUSTRY,10351160220.0
21,21.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFORMATION AND COMMUNICATIONS,27021995211.0
22,22.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INTERIOR,152000000000.0
23,23.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,6731188057.0
24,24.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,JUSTICE,19414987811.0
25,25.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,LABOUR AND PRODUCTIVITY,8150616175.0
26,26.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POWER,3776270909.0
27,27.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SCIENCE & TECHNOLOGY,22460277443.0
28,28.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,TRANSPORT,7050173566.0
29,29.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PETROLEUM RESOURCES,38489462056.0
30,30.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WORKS,26684115362.0
31,31.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,LANDS & HOUSING,3555726596.0
