,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
107,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,9500000000
108,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS/RECURRENT ADJUSTMENT,6099600000
109,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY,17397993277
110,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,1800000000
111,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GENERAL ELECTION LOGISTICS SUPPORT,17500000000
112,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,5500000000
113,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITLEMENTS OF FORMER PRESIDENTS/HEADS OF STATE AND VICE PRESIDENTS/CHIEFS OF GENERA STAFF,2300000000
114,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INSURANCE OF SENSITIVE ASSETS/CORPERS,1500000000
115,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT FOR OUTSOURCED SERVICES,5000000000
116,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE REFORMS (INCLUDING PAYMENT OF SEVERANCE BENEFITS OF CIVIL SERVANTS),1500000000
117,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BUDGET PREPARATION SYSTEM (BPS) AND PERFORMANCE BASED BUDGET (PBB),520000000
118,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATION ZAMAN LAFIYA,20170000000
119,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME:,63281093786
120,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: STIPENDS AND ALLOWANCES OF 30,000 NIGER DELTA EX-MILITANTS",23625000000
121,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: OPERATIONAL COST,5502447783
122,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORMED EX-MILITANTS,34153646003
123,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,4387999997
124,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),9623757320
125,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,YOUTH DEVELOPMENT,1461000000
126,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE AFFAIRS,500000000
127,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,17800000000
128,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,WOMEN AFFAIRS,1700000001
129,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,8752000000
130,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,WATER RESOURCES,15778000000
131,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,400000000
132,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,300000000
133,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,36700000000
134,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,EDUCATION,23520000000
135,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,13500000000
136,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,FOREIGN AFFAIRS,6500000000
137,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,FINANCE,5980900000
138,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEALTH,22676000000
139,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRADE AND INVESTMENT,1816000000
140,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFORMATION,450000000
141,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMUNICATION TECHNOLOGY,999999999
142,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,INTERIOR,2890000000
143,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,741528674
144,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,JUSTICE,1000000000
145,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY,515446428
146,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,POWER,5130000000
147,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SCIENCE AND TECHNOLOGY,3259999698
148,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRANSPORT,8300000000
149,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,PETROLEUM RESOURCES,1500000000
150,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,WORKS,19812000000
151,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,LANDS & HOUSING,1663000000
152,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINES & STEEL DEVELOPMENT,1000000000
153,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,AVIATION,5840000000
154,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",150000000
155,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,ENVIRONMENT,1900000000
156,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",450000000
157,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION,1000000000
158,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION,1500000000
159,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,26499999999
160,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGER-DELTA,8300000000
161,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL DUTIES,20000000
162,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,845000000
163,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,40000000
164,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,4500000000
165,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,387500000
166,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,313333334
167,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,250000000
168,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,150000000
169,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,250000000
170,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,150000000
171,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COST,3000000000
172,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL JOB CREATION SCHEME,8500000000
173,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,QUICK WINS - COMPLETION OF 2008 &2009 PROJECTS,527259306
174,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,MILLENIUM DEVELOPMENT GOALS MONITORING AND EVALUATION,2109037225
175,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,"CONSULTANCY, SURVEY AND SHORT TERM STUDIES",474533376
176,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMUNICATION AND ADVOCACY (MDG) REPORTING 2011 MDG,427080038
177,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NELMCO (OUTSTANDING LIABILITIES),5000000000
178,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,OUTSTANDING COMMITMENTS ON 2014 CONSTITUENCY PROJECTS,50000000000
179,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,BULK TRADER,5432000000
180,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SINKING FUND FOR INFRASTRUCTURAL DEVELOPMENT,20000000000
181,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,"SPECIAL INITIATIVE FOR WOMEN PARTICIPATION IN AGRICULTURE, WATER, SPORT, COMMUNICATION TECHNOLOGY",1500000000
182,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,GIFMIS CAPITAL,1000000000
183,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,2011 ELECTION VIOLENCE AND CIVIL DISTURBANCES (DAMAGE DONE TO PUBLIC PROPERTIES  AND PLACES OF WORSHIPS),3700000000
184,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPORTS DEVELOPMENT,2000000000
185,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,MDG SPECIAL PROJECTS,1581777918
186,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MDG's 1,15378044922
187,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MDG's 2,15018074449
188,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL DEVELOPMENT OF NATIONAL INSTITUTE FOR LEGISLATURE STUDIES,6000000000
189,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY CLINIC,1000000000
190,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION (INFRASTRUCTURE MASTER PLAN),300000000
191,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGERIA MORTGAGE REFINANCING COMPANY (NMRC),2500000000
192,2015,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTION/CONSTITUENCY PROJECTS,50000000000
193,2015,OTHERS,CAPITAL EXPENDITURE,REFUND TO SPECIAL ACCOUNT,10000000000
194,2015,OTHERS,CAPITAL EXPENDITURE,FEDERAL INITIATIVE FOR NORTH EAST (PILOT COUNTERPART FUNDING CONTRIBUTION),5000000000
195,2015,OTHERS,CAPITAL EXPENDITURE,COUNTERPART FUNDING INCLUDING GLOBAL FUND/HEALTH,2000000000
196,2015,OTHERS,CAPITAL EXPENDITURE,CONDITIONAL GRANTS AND SOCILA SAFETY NETS (MDGS),35284192766
197,2015,OTHERS,CAPITAL EXPENDITURE,SUPPORT TO UNDP MILLENIUM CAMPAIGN PROGRAMME NIGERIA IN AFRICA/AFRICAN PARLIMENTARIAN PROGRAMME,500000000
198,2015,OTHERS,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS,5500000000
199,2015,OTHERS,CAPITAL EXPENDITURE,GALAXY BACKBONE,3000000000
200,2015,OTHERS,CAPITAL EXPENDITURE,REFUNDS TO STATES FOR FEDERAL  ROADS PROJECTS,7005000000
201,2015,OTHERS,CAPITAL EXPENDITURE,PAYMENT FOR MATURING DOMESTIC BONDS,7505000000
202,2015,OTHERS,CAPITAL EXPENDITURE,SINKING FUND FOR RETIRING FUTURE MATURED BONDS,4500000000
203,2015,OTHERS,CAPITAL EXPENDITURE,FINANCING OF THE IMPLEMENTATION OF THE NIGERIA'S NUCLEAR POWQER PROGRAMME (THE SEED MONEY),2000000000
204,2015,OTHERS,CAPITAL EXPENDITURE,"MATCHING GRANT FOR THE ""SAFE SCHOOL INITITIATIVE"" PROGRAMME",1600000000
205,2015,OTHERS,CAPITAL EXPENDITURE,REHABILITATION OF EXISTING 23 NOS. FEDERAL SECRETARIATS IN THE STATES OF THE FEDRATION,1000000000
206,2015,OTHERS,CAPITAL EXPENDITURE,"ESTABLISNMENT OF RESIDENT DEFENCE SECTION AT THE EMBASSY OF NIGERIA, ABU DHABI, UAE",450000000
207,2015,OTHERS,CAPITAL EXPENDITURE,CONSTRUCTION OF FEDERAL SECRETARIAT IN EKITI STATE,1000000000
208,2015,OTHERS,CAPITAL EXPENDITURE,DEVELOPMENT FINANCE INSTITUTION (DFI),4000000000
209,2015,OTHERS,CAPITAL EXPENDITURE,SUBSIDY RE-INVESTMENT AND EMPOWERMENT PROGRAMME (SURE-P),21030000000
