,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
97,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,JUDGEMENT DEBTS,12000000000
98,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAEC INTERNATIONAL,8100000000
99,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,5500000000
100,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,12600000000
101,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,MARGIN FOR INCREASES IN COSTS,7000000000
102,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,CONTINGENCY,15624000000
103,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PUBLIC SERVICE REFORMS (INCLUDING PAYMENT OF SEVERANCE BENEFITS OF THE CIVIL SERVANTS),8000000000
104,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,BIO-METRIC VERIFICATION OF PARASTATALS' PENSIONERS,300000000
105,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,MULTI YEAR TARIFF ORDER,50000000000
106,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PHASE I: PROGRAMME AND PROJECT PORTFOLIO MANAGEMENT FOR PILOT MDAs,720000000
107,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,1800000000
108,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,RECURRENT ADJUSTMENT,7000000000
109,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,2012 ELECTION - LOGISTICS SUPPORT,3500000000
110,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,2600000000
111,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,ENTITLEMENTS OF FORMER PRESIDENTS/HEADS OF STATE / VICE PRESIDENTOF / CHIEFS OF GENERAL STAFF,3185100000
112,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INSURANCE OF SENSITIVE ASSETS (DATA CENTRES),3050000000
113,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,VGF RUNNING COSTS,90000000
114,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME,70176411902
115,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,STIPENDS & FEEDING ALLOWANCE,48281229902
116,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,REINTEGRATION OF NIGER-DELTA EX-MILITANTS,924900000
117,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OPERATIONS COST OF THE PROGRAMME,16796462000
118,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,REINTEGRATION OF TRANSFORMED NIGER-DELTA EX-MILITANTS (2010 AREARS),4173820000
119,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,14686550975
120,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),22050842112
121,2012,OTHERS,CAPITAL EXPENDITURE,YOUTH DEVELOPMENT,5331915685
122,2012,OTHERS,CAPITAL EXPENDITURE,POLICE AFFAIRS,2576221151
123,2012,OTHERS,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,9039772647
124,2012,OTHERS,CAPITAL EXPENDITURE,WOMEN AFFAIRS,2350000000
125,2012,OTHERS,CAPITAL EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,44669990000
126,2012,OTHERS,CAPITAL EXPENDITURE,WATER RESOURCES,29856646952
127,2012,OTHERS,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,560000000
128,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED  OFFENCES COMMISSION,130000000
129,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,35967756450
130,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,EDUCATION,54650331902
131,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,45807473782
132,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,FOREIGN AFFAIRS,7286211147
133,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,FINANCE,2144261975
134,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,HEALTH,55902569689
135,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,TRADE AND INVESTMENT,2151896363
136,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFORMATION,3602136399
137,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMUNICATION TECHNOLOGY,4085000000
138,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,INTERIOR,7600000000
139,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,5011100190
140,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,JUSTICE,573000000
141,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY,2476506000
142,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,POWER,69157057615
143,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,SCIENCE AND TECHNOLOGY,9941384657
144,2012,LEGISLATIVE ARM,CAPITAL EXPENDITURE,TRANSPORT,46552624000
145,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,PETROLEUM RESOURCES,8224403628
146,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,WORKS,1.49658E+11
147,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,LANDS & HOUSING,19714000000
148,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINES & STEEL DEVELOPMENT,2954130099
149,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,AVIATION,42826806612
150,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",250000000
151,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,ENVIRONMENT,7503033533
152,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",3107274184
153,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION,1058500000
154,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION,1437852201
155,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,64625912036
156,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGER-DELTA,57209043000
157,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL DUTIES,45000000
158,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,80371527
159,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,70000000
160,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,1959590000
161,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,1015578245
162,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,61500000
163,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,560025000
164,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,353859568
165,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,375983459
166,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,1535000000
167,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,40000000
168,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL EXECUTIVE BODIES,5901536272
169,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COSTS,6250000000
170,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,VIABILITY GAP FUND - PPP,8000000000
171,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,COUNTERPART FUNDING/UNIDO,7000000000
172,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,QUICK WINS - COMPLETION OF 2008 & 2009 PROJECTS,5000000000
173,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONDITIONAL GRANTS AND SOCIAL SAFETY NETS (MDGS),45450000000
174,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUPPORT TO UNDP MILLENIUM CAMPAIGN PROGRAMME NIGERIA IN AFRICAN PARLIMENTARY PROGRAMME,500000000
175,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,MILLENIUM DEVELOPMENT GOALS MONITORING AND EVALUATION (OSSAP),3000000000
176,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,"CONSULTANCY, SURVEY AND SHORT-TERM STUDIES",1000000000
177,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMUNICATIONS AND ADVOCACY (MDGs) REPORTS ON 2011 MDGs,1000000000
178,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTON,1.005E+11
179,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,PAYMENT TO LOCAL CONTRACTORS' DEBT,7047037490
180,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE REFORMS FUND (SHARE OF FGN),12500000000
181,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,BANK OF INDUSTRY - MOFI SHARE OF BANK RECAPITALISATION FOR 2009 & 2010,2000000000
182,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGERIAN EXPORT - IMPORT BANK - SHARE OF EQUITY,2000000000
183,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL ECONOMIC RECOVERY FUND,1000000000
184,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,SINKING FUND FOR INFRASTRUCTURAL DEVELOPMENT,1.0117E+11
185,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,PHCN PRIVATISATION,87000000000
186,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,FUNDING OF GALAXY BACKBONE INFRASTRUCTURE,3500000000
187,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,MARITIME SECURITY (PICOMSS),1500000000
188,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,NELMCO,17000000000
189,2012,EXECUTIVE ARM,CAPITAL EXPENDITURE,BULK TRADER,20000000000
